time,zip,county,n_ev,n_bev,n_phev,m_ev,m_bev,m_phev
2017-01-31,98255,Skagit,,,,43,24,20
2017-01-31,98256,Snohomish,,,,43,24,20
2017-01-31,98257,Skagit,8,2,6,43,24,20
2017-01-31,98258,Snohomish,107,60,47,43,24,20
2017-01-31,98260,Island,28,16,12,43,24,20
2017-01-31,98261,San Juan,15,12,3,43,24,20
2017-01-31,98262,Whatcom,8,5,3,43,24,20
2017-01-31,98263,Skagit,,,,43,24,20
2017-01-31,98264,Whatcom,18,10,8,43,24,20
2017-01-31,98266,Whatcom,1,,1,43,24,20
2017-01-31,98267,Skagit,,,,43,24,20
2017-01-31,98270,Snohomish,58,27,31,43,24,20
2017-01-31,98271,Snohomish,37,18,19,43,24,20
2017-01-31,98272,Snohomish,49,27,22,43,24,20
2017-01-31,98273,Skagit,30,19,11,43,24,20
2017-01-31,98274,Skagit,37,17,20,43,24,20
2017-01-31,98275,Snohomish,91,68,23,43,24,20
2017-01-31,98276,Whatcom,1,1,,43,24,20
2017-01-31,98277,Island,48,11,37,43,24,20
2017-01-31,98278,Island,,,,43,24,20
2017-01-31,98279,San Juan,6,6,,43,24,20
2017-01-31,98280,San Juan,,,,43,24,20
2017-01-31,98281,Whatcom,6,4,2,43,24,20
2017-01-31,98282,Island,37,17,20,43,24,20
2017-01-31,98283,Skagit,1,,1,43,24,20
2017-01-31,98284,Skagit,14,9,5,43,24,20
2017-01-31,98286,San Juan,,,,43,24,20
2017-01-31,98288,King,,,,43,24,20
2017-01-31,98290,Snohomish,80,51,29,43,24,20
2017-01-31,98292,Snohomish,41,20,21,43,24,20
2017-01-31,98294,Snohomish,8,5,3,43,24,20
2017-01-31,98295,Whatcom,2,1,1,43,24,20
2017-01-31,98296,Snohomish,95,54,41,43,24,20
2017-01-31,98297,San Juan,,,,43,24,20
2017-01-31,98303,Pierce,6,5,1,43,24,20
2017-01-31,98304,Pierce,2,2,,43,24,20
2017-01-31,98305,Clallam,,,,43,24,20
2017-01-31,98310,Kitsap,20,15,5,43,24,20
2017-01-31,98311,Kitsap,37,19,18,43,24,20
2017-01-31,98312,Kitsap,54,33,21,43,24,20
2017-01-31,98314,Kitsap,,,,43,24,20
2017-01-31,98315,Kitsap,2,2,,43,24,20
2017-01-31,98320,Jefferson,3,2,1,43,24,20
2017-01-31,98321,Pierce,28,9,19,43,24,20
2017-01-31,98323,Pierce,2,1,1,43,24,20
2017-01-31,98325,Jefferson,6,4,2,43,24,20
2017-01-31,98326,Clallam,,,,43,24,20
2017-01-31,98327,Pierce,13,5,8,43,24,20
2017-01-31,98328,Pierce,10,3,7,43,24,20
2017-01-31,98329,Pierce,30,14,16,43,24,20
2017-01-31,98330,Pierce,1,1,,43,24,20
2017-01-31,98331,Clallam,,,,43,24,20
2017-01-31,98332,Pierce,56,22,34,43,24,20
2017-01-31,98333,Pierce,35,14,21,43,24,20
2017-01-31,98335,Pierce,76,43,33,43,24,20
2017-01-31,98336,Lewis,,,,43,24,20
2017-01-31,98337,Kitsap,5,3,2,43,24,20
2017-01-31,98338,Pierce,45,19,26,43,24,20
2017-01-31,98339,Jefferson,5,4,1,43,24,20
2017-01-31,98340,Kitsap,13,11,2,43,24,20
2017-01-31,98342,Kitsap,11,10,1,43,24,20
2017-01-31,98345,Kitsap,,,,43,24,20
2017-01-31,98346,Kitsap,47,27,20,43,24,20
