OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790228669200|53005010500|Census Tract 105|2603015|0|G5020|S|20740228669200|53005010500|Census Tract 105|2603015|0|G5020|S|2603015|0
20790228669174|53005010600|Census Tract 106|7766784|1792213|G5020|S|20740228669413|53005010300|Census Tract 103|5881496|266235|G5020|S|7230|0
20790228669174|53005010600|Census Tract 106|7766784|1792213|G5020|S|20740228669174|53005010600|Census Tract 106|7806067|1801711|G5020|S|7759554|1792213
207903716915398|53005010701|Census Tract 107.01|38863837|459144|G5020|S|207403716915398|53005010701|Census Tract 107.01|36871625|459144|G5020|S|35954784|459144
207903716915398|53005010701|Census Tract 107.01|38863837|459144|G5020|S|207403716915400|53005010703|Census Tract 107.03|49274572|1422392|G5020|S|164702|0
207903716915398|53005010701|Census Tract 107.01|38863837|459144|G5020|S|207403716915413|53005010707|Census Tract 107.07|5568276|0|G5020|S|1107708|0
207903716915398|53005010701|Census Tract 107.01|38863837|459144|G5020|S|207403716915397|53005010708|Census Tract 107.08|8535204|109064|G5020|S|1636643|0
207903716915400|53005010703|Census Tract 107.03|50025169|1325500|G5020|S|207403716915398|53005010701|Census Tract 107.01|36871625|459144|G5020|S|916841|0
207903716915400|53005010703|Census Tract 107.03|50025169|1325500|G5020|S|207403716915400|53005010703|Census Tract 107.03|49274572|1422392|G5020|S|49108328|1324279
207903716915400|53005010703|Census Tract 107.03|50025169|1325500|G5020|S|20740228668834|53005011900|Census Tract 119|165095738|1045316|G5020|S|0|1221
207903716915408|53005010705|Census Tract 107.05|7489210|79644|G5020|S|207403716915408|53005010705|Census Tract 107.05|7377667|79644|G5020|S|7339234|79644
207903716915408|53005010705|Census Tract 107.05|7489210|79644|G5020|S|207403716915413|53005010707|Census Tract 107.07|5568276|0|G5020|S|15341|0
207903716915408|53005010705|Census Tract 107.05|7489210|79644|G5020|S|207403716915397|53005010708|Census Tract 107.08|8535204|109064|G5020|S|11187|0
207903716915408|53005010705|Census Tract 107.05|7489210|79644|G5020|S|20740228668804|53005010803|Census Tract 108.03|11725818|110453|G5020|S|123448|0
207903716915413|53005010707|Census Tract 107.07|4456782|0|G5020|S|207403716915408|53005010705|Census Tract 107.05|7377667|79644|G5020|S|16039|0
207903716915413|53005010707|Census Tract 107.07|4456782|0|G5020|S|207403716915413|53005010707|Census Tract 107.07|5568276|0|G5020|S|4440743|0
207903716915397|53005010708|Census Tract 107.08|6891858|107678|G5020|S|207403716915413|53005010707|Census Tract 107.07|5568276|0|G5020|S|4484|0
207903716915397|53005010708|Census Tract 107.08|6891858|107678|G5020|S|207403716915397|53005010708|Census Tract 107.08|8535204|109064|G5020|S|6887374|107678
207903716915407|53005010807|Census Tract 108.07|97471773|0|G5020|S|207403716915407|53005010807|Census Tract 108.07|97509144|0|G5020|S|97471773|0
207903716915412|53005010809|Census Tract 108.09|3852695|0|G5020|S|207403716915412|53005010809|Census Tract 108.09|3822157|0|G5020|S|3794082|0
207903716915412|53005010809|Census Tract 108.09|3852695|0|G5020|S|207403716915403|53005010810|Census Tract 108.10|5844841|30347|G5020|S|58613|0
207903716915403|53005010810|Census Tract 108.10|5884868|30347|G5020|S|207403716915412|53005010809|Census Tract 108.09|3822157|0|G5020|S|6067|0
207903716915403|53005010810|Census Tract 108.10|5884868|30347|G5020|S|207403716915403|53005010810|Census Tract 108.10|5844841|30347|G5020|S|5785493|30347
