census_tract_2020,census_tract_2010
53021020102,53021020100.0
53021020103,53021020100.0
53021020201,53021020200.0
53021020202,53021020200.0
53021020300,53021020300.0
53021020401,53021020400.0
53021020402,53021020400.0
53021020403,53021020400.0
53021020404,53021020400.0
53021020501,53021020501.0
53021020503,53021020502.0
53021020504,53021020502.0
53021020603,53021020603.0
53021020605,53021020605.0
53021020606,53021020606.0
53021020607,53021020601.0
53021020608,53021020601.0
53021020700,53021020700.0
53021020801,53021020800.0
53021020802,53021020800.0
53021980100,53021980100.0
53023970300,53023970300.0
53025010100,53025010100.0
53025010200,53025010200.0
53025010300,53025010300.0
53025010401,53025010400.0
53025010402,53025010400.0
53025010500,53025010500.0
53025010600,53025010600.0
53025010700,53025010700.0
53025010800,53025010800.0
53025010901,53025010901.0
53025010903,53025010902.0
53025010904,53025010902.0
53025011001,53025011000.0
53025011002,53025011000.0
53025011101,53025011100.0
53025011102,53025011100.0
53025011200,53025011200.0
53025011300,53025011300.0
53025011401,53025011401.0
53025011403,53025011402.0
53025011404,53025011402.0
53025011405,53025011402.0
53025011406,53025011402.0
53027000201,53027000200.0
53027000202,53027000200.0
53027000300,53027000300.0
53027000401,53027000400.0
53027000402,53027000400.0
53027000501,53027000500.0
53027000502,53027000500.0
53027000600,53027000600.0
53027000700,53027000700.0
53027000800,53027000800.0
53027000900,53027000900.0
53027001000,53027001000.0
53027001100,53027001100.0
53027001200,53027001200.0
53027001300,53027001300.0
53027001400,53027001400.0
53027001500,53027001500.0
53027001601,53027001600.0
53027001602,53027001600.0
53027940000,53027940000.0
53027990000,53027990000.0
53029970100,53029970100.0
53029970200,53029970200.0
53029970300,53029970300.0
53029970401,53029970400.0
53029970402,53029970400.0
53029970500,53029970500.0
53029970601,53029970601.0
53029970602,53029970602.0
53029970700,53029970700.0
53029970800,53029970800.0
53029970900,53029970900.0
53029971000,53029971000.0
53029971100,53029971100.0
53029971301,53029971300.0
53029971302,53029971300.0
53029971400,53029971400.0
53029971500,53029971500.0
53029971600,53029971600.0
53029971700,53029971700.0
53029971800,53029971800.0
53029971900,53029971900.0
53029972000,53029972000.0
53029972100,53029972100.0
53029992201,53029992201.0
53031950202,53031950202.0
53031950301,53031950300.0
53031950302,53031950300.0
53031950400,53031950400.0
53031950501,53031950500.0
53031950502,53031950500.0
53031950602,53031950602.0
53031950603,53031950601.0
53031950604,53031950601.0
53031950702,53031950702.0
53031990000,53031990000.0
53033000101,53033000100.0
53033000102,53033000100.0
53033000201,53033000200.0
53033000202,53033000200.0
53033000300,53033000300.0
53033000402,53033000402.0
53033000403,53033000401.0
53033000404,53033000401.0
53033000500,53033000500.0
53033000601,53033000600.0
53033000602,53033000600.0
53033000700,53033000700.0
53033000800,53033000800.0
53033000900,53033000900.0
53033001000,53033001000.0
53033001100,53033001100.0
53033001201,53033001200.0
53033001202,53033001200.0
53033001300,53033001300.0
