census_tract,zip_code
53033002100,98115.0
53033002200,98115.0
53033002400,98115.0
53033002500,98115.0
53033002600,98115.0
53033002700,98103.0
53033002800,98103.0
53033002900,98117.0
53033003000,98117.0
53033003100,98117.0
53033003200,98107.0
53033003300,98107.0
53033003400,98107.0
53033003500,98103.0
53033003600,98115.0
53033003800,98115.0
53033003900,98115.0
53033004000,98115.0
53033004100,98105.0
53033004200,98105.0
53033004301,98105.0
53033004302,98105.0
53033004400,98105.0
53033004500,98105.0
53033004600,98103.0
53033004700,98107.0
53033004800,98107.0
53033004900,98103.0
53033005000,98103.0
53033005100,98103.0
53033005200,98105.0
53033005301,98105.0
53033005302,98105.0
53033005400,98103.0
53033005600,98199.0
53033005700,98199.0
53033005801,98199.0
53033005802,98199.0
53033005900,98119.0
53033006000,98109.0
53033006100,98102.0
53033006200,98112.0
53033006300,98112.0
53033006400,98112.0
53033006500,98102.0
53033006600,98102.0
53033006700,98109.0
53033006800,98109.0
53033006900,98119.0
53033007000,98119.0
53033007100,98109.0
53033007200,98121.0
53033007300,98109.0
53033007401,98102.0
53033007402,98122.0
53033007500,98122.0
53033007600,98112.0
53033007700,98112.0
53033007800,98122.0
53033007900,98122.0
53033008001,98121.0
53033008002,98121.0
53033008100,98101.0
53033008200,98101.0
53033008300,98101.0
53033008400,98122.0
53033008500,98104.0
53033008600,98122.0
53033008700,98122.0
53033008800,98122.0
53033008900,98144.0
53033009000,98144.0
53033009100,98104.0
53033009200,98104.0
53033009300,98124.0
53033009400,98144.0
53033009500,98144.0
53033009600,98116.0
53033009701,98116.0
53033009702,98116.0
53033009800,98116.0
53033009900,98126.0
53033010001,98108.0
53033010002,98144.0
53033010100,98118.0
53033010200,98118.0
53033010300,98118.0
53033010401,98108.0
53033010402,98108.0
53033010500,98116.0
53033010600,98136.0
53033010701,98106.0
53033010702,98126.0
53033010800,98106.0
53033010900,98108.0
53033011001,98118.0
53033011002,98108.0
53033011101,98118.0
53033011102,98118.0
53033011200,98108.0
53033011300,98106.0
53033011401,98106.0
53033011402,98106.0
53033011500,98126.0
53033011600,98136.0
53033011700,98118.0
53033011800,98118.0
53033011900,98178.0
53033012000,98146.0
53033012100,98146.0
53033020100,98177.0
53033020200,98177.0
53033020300,98133.0
53033020401,98155.0
53033020402,98155.0
53033020500,98155.0
53033020600,98133.0
53033020700,98133.0
53033020800,98177.0
53033020900,98133.0
53033021000,98133.0
53033021100,98155.0
53033021300,98155.0
53033021400,98155.0
53033021500,98155.0
53033021600,98028.0
53033021700,98028.0
53033021802,98011.0
53033021803,98011.0
53033021804,98011.0
53033021903,98034.0
53033021904,98034.0
53033021905,98011.0
53033021906,98072.0
53033022001,98011.0
53033022003,98034.0
53033022005,98034.0
53033022006,98034.0
53033022101,98028.0
53033022102,98028.0
53033022201,98034.0
53033022202,98034.0
53033022203,98034.0
53033022300,98034.0
53033022400,98033.0
53033022500,98033.0
53033022603,98033.0
53033022604,98033.0
53033022605,98052.0
53033022606,98052.0
53033022701,98033.0
53033022702,98033.0
53033022703,98033.0
53033022801,98007.0
53033022802,98052.0
53033022803,98052.0
53033022901,98008.0
53033022902,98052.0
53033023000,98008.0
53033023100,98008.0
53033023201,98007.0
53033023202,98008.0
53033023300,98008.0
53033023401,98007.0
53033023403,98008.0
53033023404,98027.0
53033023500,98005.0
53033023601,98005.0
53033023603,98005.0
53033023604,98007.0
53033023700,98005.0
53033023801,98004.0
53033023803,98004.0
53033023804,98004.0
53033023900,98004.0
53033024000,98004.0
53033024100,98004.0
53033024200,98039.0
53033024300,98040.0
53033024400,98040.0
53033024500,98040.0
53033024601,98040.0
53033024602,98040.0
53033024701,98006.0
53033024702,98056.0
53033024800,98006.0
53033024901,98006.0
53033024902,98006.0
53033024903,98006.0
53033025001,98056.0
53033025003,98006.0
53033025005,98059.0
53033025006,98027.0
53033025101,98059.0
53033025102,98059.0
53033025200,98056.0
53033025301,98056.0
53033025302,98057.0
53033025400,98056.0
53033025500,98056.0
53033025601,98056.0
53033025602,98059.0
53033025701,98055.0
53033025702,98058.0
53033025803,98058.0
53033025804,98058.0
53033025805,98055.0
53033025806,98055.0
53033026001,98178.0
53033026002,98057.0
53033026100,98178.0
53033026200,98188.0
53033026300,98178.0
53033026400,98168.0
53033026500,98106.0
53033026600,98146.0
53033026700,98146.0
53033026801,98146.0
53033026802,98146.0
53033027000,98168.0
53033027100,98168.0
53033027200,98168.0
53033027300,98168.0
53033027400,98168.0
53033027500,98146.0
53033027600,98166.0
53033027701,98070.0
53033027702,98070.0
53033027800,98166.0
53033027900,98166.0
53033028000,98148.0
53033028100,98168.0
53033028200,98188.0
53033028300,98188.0
53033028402,98188.0
53033028403,98188.0
53033028500,98148.0
53033028600,98166.0
53033028700,98198.0
53033028801,98198.0
53033028802,98198.0
53033028901,98198.0
53033028902,98198.0
53033029001,98198.0
53033029003,98198.0
53033029004,98032.0
53033029101,98032.0
53033029102,98032.0
53033029203,98032.0
53033029204,98031.0
53033029205,98032.0
53033029206,98032.0
53033029303,98055.0
53033029304,98058.0
53033029305,98031.0
53033029306,98031.0
53033029307,98058.0
53033029403,98031.0
53033029405,98031.0
53033029406,98031.0
53033029407,98031.0
53033029408,98031.0
53033029502,98030.0
53033029503,98030.0
53033029504,98030.0
53033029601,98030.0
53033029602,98092.0
53033029700,98030.0
53033029801,98032.0
53033029802,98001.0
53033029901,98001.0
53033029902,98001.0
53033030003,98198.0
53033030004,98003.0
53033030005,98003.0
53033030006,98003.0
53033030100,98023.0
53033030201,98023.0
53033030202,98003.0
53033030304,98023.0
53033030305,98023.0
53033030306,98023.0
53033030308,98023.0
53033030309,98023.0
53033030310,98093.0
53033030311,98023.0
53033030312,98023.0
53033030313,98003.0
53033030314,98003.0
53033030401,98001.0
53033030403,98003.0
53033030404,98001.0
53033030501,98002.0
53033030503,98002.0
53033030504,98002.0
53033030600,98002.0
53033030700,98002.0
53033030801,98002.0
53033030802,98002.0
53033030901,98001.0
53033030902,98047.0
53033031000,98092.0
53033031100,98092.0
53033031202,98092.0
53033031204,98092.0
53033031205,98092.0
53033031206,98092.0
53033031301,98022.0
53033031302,98022.0
53033031400,98022.0
53033031501,98051.0
53033031502,98022.0
53033031601,98042.0
53033031603,98010.0
53033031604,98038.0
53033031605,98010.0
53033031703,98042.0
53033031704,98042.0
53033031705,98042.0
53033031706,98042.0
53033031800,98042.0
53033031903,98059.0
53033031904,98059.0
53033031906,98058.0
53033031907,98058.0
53033031908,98058.0
53033031909,98058.0
53033032002,98038.0
53033032003,98038.0
53033032005,98042.0
53033032006,98042.0
53033032007,98038.0
53033032008,98038.0
53033032010,98038.0
53033032011,98038.0
53033032102,98027.0
53033032103,98027.0
53033032104,98027.0
53033032203,98074.0
53033032207,98075.0
53033032208,98029.0
53033032210,98029.0
53033032211,98029.0
53033032212,98029.0
53033032213,98075.0
53033032214,98074.0
53033032215,98075.0
53033032307,98072.0
53033032309,98052.0
53033032311,98077.0
53033032313,98052.0
53033032315,98053.0
53033032316,98074.0
53033032317,98074.0
53033032318,98074.0
53033032319,98072.0
53033032320,98072.0
53033032321,98052.0
53033032322,98052.0
53033032323,98052.0
53033032324,98052.0
53033032325,98052.0
53033032326,98077.0
53033032327,98053.0
53033032328,98053.0
53033032329,98053.0
53033032401,98019.0
53033032402,98019.0
53033032500,98014.0
53033032601,98024.0
53033032602,98065.0
53033032702,98045.0
53033032703,98065.0
53033032704,98045.0
53033032800,98045.0
53035080101,98310.0
53035080102,98310.0
53035080200,98310.0
53035080300,98310.0
53035080400,98310.0
53035080500,98337.0
53035080600,98312.0
53035080700,98312.0
53035080800,98312.0
53035080900,98312.0
53035081000,98312.0
53035081100,98312.0
53035081200,98337.0
53035081400,98337.0
53035090101,98340.0
53035090102,98346.0
53035090201,98370.0
53035090202,98370.0
53035090300,98315.0
53035090400,98383.0
53035090501,98370.0
53035090502,98370.0
53035090700,98110.0
53035090800,98110.0
53035090900,98110.0
53035091000,98110.0
53035091100,98370.0
53035091201,98383.0
53035091203,98383.0
53035091204,98311.0
53035091301,98312.0
53035091302,98383.0
53035091400,98312.0
53035091500,98311.0
53035091600,98311.0
53035091700,98311.0
53035091800,98310.0
53035091900,98311.0
53035092000,98380.0
53035092100,98367.0
53035092200,98366.0
53035092300,98366.0
53035092400,98366.0
53035092500,98366.0
53035092600,98366.0
53035092701,98367.0
53035092704,98366.0
53035092801,98367.0
53035092802,98367.0
53035092803,98359.0
53035092901,98367.0
53035092902,98367.0
53035940000,98342.0
53035940100,98392.0
53037975100,98922.0
53037975200,98922.0
53037975300,98926.0
53037975401,98926.0
53037975402,98926.0
53037975500,98926.0
53037975600,98926.0
53037975700,98926.0
53039950100,98620.0
53039950200,98635.0
53039950300,98672.0
53041970100,98532.0
53041970200,98531.0
53041970300,98531.0
53041970400,98531.0
53041970500,98531.0
53041970600,98531.0
53041970700,98531.0
53041970800,98532.0
53041970900,98532.0
53041971000,98532.0
53041971100,98532.0
53041971200,98570.0
53041971300,98532.0
53041971400,98532.0
53041971500,98596.0
53041971600,98596.0
53041971700,98564.0
53041971800,98570.0
53041971900,98336.0
53041972000,98377.0
53043960100,99122.0
53043960200,99122.0
53043960300,99185.0
53043960400,99159.0
53045940000,98584.0
53045960100,98548.0
53045960200,98548.0
53045960300,98528.0
53045960400,98528.0
53045960500,98592.0
53045960600,98584.0
53045960700,98584.0
53045960800,98584.0
53045960900,98584.0
53045961000,98584.0
53045961100,98584.0
53045961200,98546.0
53045961300,98584.0
53047940100,99116.0
53047940200,98841.0
53047970300,98844.0
53047970400,98855.0
53047970500,98849.0
53047970600,98841.0
53047970700,98840.0
53047970800,98812.0
53047970900,98862.0
53047971000,98856.0
53049950200,98577.0
53049950300,98577.0
53049950400,98577.0
53049950500,98631.0
53049950600,98631.0
53049950700,98640.0
53049950800,98640.0
53051970100,99139.0
53051970200,99180.0
53051970300,99156.0
53051970400,99156.0
53051970500,99156.0
53053060200,98402.0
53053060300,98407.0
53053060400,98407.0
53053060500,98407.0
53053060600,98403.0
53053060700,98406.0
53053060800,98406.0
53053060903,98407.0
53053060904,98407.0
53053060905,98406.0
53053060906,98406.0
53053061001,98406.0
53053061002,98465.0
53053061100,98405.0
53053061200,98405.0
53053061300,98405.0
53053061400,98405.0
53053061500,98403.0
53053061601,98402.0
53053061602,98402.0
53053061700,98405.0
53053061800,98418.0
53053061900,98419.0
53053062000,98404.0
53053062300,98404.0
53053062400,98408.0
53053062500,98418.0
53053062600,98409.0
53053062801,98409.0
53053062802,98409.0
53053062900,98409.0
53053063000,98409.0
53053063100,98408.0
53053063200,98408.0
53053063300,98404.0
53053063400,98408.0
53053063501,98408.0
53053063502,98444.0
53053070100,98360.0
53053070203,98391.0
53053070204,98391.0
53053070205,98321.0
53053070206,98321.0
53053070207,98321.0
53053070307,98391.0
53053070308,98391.0
53053070309,98391.0
53053070310,98391.0
53053070311,98391.0
53053070312,98391.0
53053070313,98391.0
53053070314,98391.0
53053070315,98092.0
53053070316,98092.0
53053070401,98374.0
53053070403,98360.0
53053070404,98360.0
53053070703,98354.0
53053071100,98446.0
53053071205,98371.0
53053071206,98373.0
53053071207,98374.0
53053071208,98374.0
53053071209,98374.0
53053071210,98374.0
53053071304,98373.0
53053071305,98446.0
53053071306,98446.0
53053071307,98373.0
53053071309,98375.0
53053071310,98373.0
53053071403,98387.0
53053071406,98445.0
53053071407,98387.0
53053071408,98445.0
53053071409,98387.0
53053071410,98387.0
53053071411,98387.0
53053071503,98444.0
53053071504,98444.0
53053071505,98445.0
53053071506,98445.0
53053071601,98404.0
53053071602,98445.0
53053071703,98444.0
53053071704,98444.0
53053071705,98444.0
53053071706,98444.0
53053071707,98444.0
53053071803,98499.0
53053071805,98499.0
53053071806,98499.0
53053071807,98499.0
53053071808,98499.0
53053071901,98499.0
53053071902,98499.0
53053072000,98439.0
53053072105,98498.0
53053072106,98498.0
53053072107,98498.0
53053072108,98498.0
53053072109,98388.0
53053072111,98388.0
53053072112,98498.0
53053072305,98466.0
53053072307,98466.0
53053072308,98467.0
53053072309,98466.0
53053072310,98466.0
53053072311,98466.0
53053072312,98467.0
53053072313,98466.0
53053072405,98335.0
53053072406,98335.0
53053072407,98335.0
53053072408,98335.0
53053072409,98335.0
53053072410,98333.0
53053072503,98329.0
53053072504,98332.0
53053072505,98332.0
53053072506,98332.0
53053072507,98335.0
53053072601,98329.0
53053072602,98349.0
53053072603,98303.0
53053072800,98327.0
53053072901,98439.0
53053072903,98433.0
53053072905,98433.0
53053072906,98433.0
53053072907,98433.0
53053073001,98580.0
53053073005,98580.0
53053073006,98580.0
53053073108,98375.0
53053073110,98374.0
53053073111,98374.0
53053073113,98338.0
53053073114,98387.0
53053073115,98338.0
53053073116,98338.0
53053073117,98328.0
53053073118,98338.0
53053073119,98338.0
53053073120,98375.0
53053073121,98375.0
53053073122,98374.0
53053073123,98374.0
53053073124,98338.0
53053073125,98375.0
53053073126,98375.0
53053073200,98328.0
53053073301,98390.0
53053073302,98390.0
53053073404,98371.0
53053073405,98372.0
53053073406,98372.0
53053073407,98371.0
53053073408,98371.0
53053073500,98372.0
53053940001,98422.0
53053940002,98424.0
53053940003,98424.0
53053940004,98443.0
53053940005,98422.0
53053940006,98404.0
53053940007,98404.0
53053940008,98422.0
53053940009,98371.0
53053940010,98372.0
53053940011,98422.0
53055960100,98245.0
53055960300,98250.0
53055960400,98250.0
53055960500,98261.0
53057940200,98221.0
53057940300,98221.0
53057940400,98221.0
53057940500,98221.0
53057940600,98221.0
53057940700,98221.0
53057940800,98257.0
53057950100,98221.0
53057950800,98232.0
53057950900,98284.0
53057951000,98284.0
53057951100,98237.0
53057951200,98274.0
53057951300,98284.0
53057951400,98284.0
53057951500,98284.0
53057951600,98233.0
53057951700,98233.0
53057951800,98233.0
53057951900,98233.0
53057952100,98273.0
53057952200,98273.0
53057952301,98273.0
53057952302,98273.0
53057952401,98274.0
53057952402,98274.0
53057952500,98273.0
53057952600,98273.0
53057952700,98274.0
53059950100,98610.0
53059950200,98671.0
53059950300,98648.0
53059950400,98651.0
53059950500,98610.0
53061040100,98201.0
53061040200,98201.0
53061040300,98201.0
53061040400,98201.0
53061040500,98201.0
53061040700,98201.0
53061040800,98201.0
53061040900,98203.0
