time,zip,county,gas_price,n_ev,n_bev,n_phev,m_ev,m_bev,m_phev,n_evse
2017-01-31,98178,King,2.743,60.0,36.0,24.0,43,24,20,0
2017-01-31,98188,King,2.743,56.0,20.0,36.0,43,24,20,5
2017-01-31,98195,King,2.743,,,,43,24,20,0
2017-01-31,98198,King,2.743,49.0,24.0,25.0,43,24,20,3
2017-01-31,98199,King,2.743,192.0,137.0,55.0,43,24,20,0
2017-01-31,98201,Snohomish,2.743,43.0,21.0,22.0,43,24,20,0
2017-01-31,98203,Snohomish,2.743,79.0,47.0,32.0,43,24,20,1
2017-01-31,98204,Snohomish,2.743,41.0,21.0,20.0,43,24,20,4
2017-01-31,98205,Snohomish,2.743,,,,43,24,20,0
2017-01-31,98207,Snohomish,2.743,,,,43,24,20,0
2017-01-31,98208,Snohomish,2.743,138.0,84.0,54.0,43,24,20,0
2017-01-31,98220,Whatcom,2.743,1.0,1.0,,43,24,20,0
2017-01-31,98221,Skagit,2.743,69.0,33.0,36.0,43,24,20,2
2017-01-31,98222,San Juan,2.743,,,,43,24,20,0
2017-01-31,98223,Snohomish,2.743,63.0,40.0,23.0,43,24,20,0
2017-01-31,98224,King,2.743,,,,43,24,20,0
2017-01-31,98225,Whatcom,2.743,129.0,90.0,39.0,43,24,20,3
2017-01-31,98226,Whatcom,2.743,113.0,77.0,36.0,43,24,20,3
2017-01-31,98229,Whatcom,2.743,93.0,68.0,25.0,43,24,20,1
2017-01-31,98230,Whatcom,2.743,40.0,28.0,12.0,43,24,20,2
2017-01-31,98232,Skagit,2.743,8.0,5.0,3.0,43,24,20,0
2017-01-31,98233,Skagit,2.743,11.0,5.0,6.0,43,24,20,2
2017-01-31,98235,Skagit,2.743,1.0,,1.0,43,24,20,0
2017-01-31,98236,Island,2.743,23.0,8.0,15.0,43,24,20,0
2017-01-31,98237,Skagit,2.743,,,,43,24,20,1
2017-01-31,98238,Skagit,2.743,,,,43,24,20,0
2017-01-31,98239,Island,2.743,29.0,12.0,17.0,43,24,20,0
2017-01-31,98240,Whatcom,2.743,7.0,6.0,1.0,43,24,20,1
2017-01-31,98241,Snohomish,2.743,,,,43,24,20,0
2017-01-31,98243,San Juan,2.743,,,,43,24,20,0
2017-01-31,98244,Whatcom,2.743,4.0,4.0,,43,24,20,0
2017-01-31,98245,San Juan,2.743,22.0,18.0,4.0,43,24,20,2
2017-01-31,98247,Whatcom,2.743,12.0,9.0,3.0,43,24,20,0
2017-01-31,98248,Whatcom,2.743,32.0,24.0,8.0,43,24,20,0
2017-01-31,98249,Island,2.743,28.0,17.0,11.0,43,24,20,1
2017-01-31,98250,San Juan,2.743,53.0,31.0,22.0,43,24,20,5
2017-01-31,98251,Snohomish,2.743,5.0,1.0,4.0,43,24,20,0
2017-01-31,98252,Snohomish,2.743,12.0,2.0,10.0,43,24,20,0
2017-01-31,98253,Island,2.743,14.0,3.0,11.0,43,24,20,0
2017-01-31,98255,Skagit,2.743,,,,43,24,20,0
2017-01-31,98256,Snohomish,2.743,,,,43,24,20,0
2017-01-31,98257,Skagit,2.743,8.0,2.0,6.0,43,24,20,1
2017-01-31,98258,Snohomish,2.743,107.0,60.0,47.0,43,24,20,0
2017-01-31,98260,Island,2.743,28.0,16.0,12.0,43,24,20,2
2017-01-31,98261,San Juan,2.743,15.0,12.0,3.0,43,24,20,2
2017-01-31,98262,Whatcom,2.743,8.0,5.0,3.0,43,24,20,0
2017-01-31,98263,Skagit,2.743,,,,43,24,20,0
2017-01-31,98264,Whatcom,2.743,18.0,10.0,8.0,43,24,20,0
2017-01-31,98266,Whatcom,2.743,1.0,,1.0,43,24,20,0
2017-01-31,98267,Skagit,2.743,,,,43,24,20,0
2017-01-31,98270,Snohomish,2.743,58.0,27.0,31.0,43,24,20,0
2017-01-31,98271,Snohomish,2.743,37.0,18.0,19.0,43,24,20,0
2017-01-31,98272,Snohomish,2.743,49.0,27.0,22.0,43,24,20,1
2017-01-31,98273,Skagit,2.743,30.0,19.0,11.0,43,24,20,2
2017-01-31,98274,Skagit,2.743,37.0,17.0,20.0,43,24,20,0
2017-01-31,98275,Snohomish,2.743,91.0,68.0,23.0,43,24,20,1
2017-01-31,98276,Whatcom,2.743,1.0,1.0,,43,24,20,0
2017-01-31,98277,Island,2.743,48.0,11.0,37.0,43,24,20,0
2017-01-31,98278,Island,2.743,,,,43,24,20,0
2017-01-31,98279,San Juan,2.743,6.0,6.0,,43,24,20,1
2017-01-31,98280,San Juan,2.743,,,,43,24,20,0
2017-01-31,98281,Whatcom,2.743,6.0,4.0,2.0,43,24,20,0
2017-01-31,98282,Island,2.743,37.0,17.0,20.0,43,24,20,0
2017-01-31,98283,Skagit,2.743,1.0,,1.0,43,24,20,1
2017-01-31,98284,Skagit,2.743,14.0,9.0,5.0,43,24,20,0
2017-01-31,98286,San Juan,2.743,,,,43,24,20,0
2017-01-31,98288,King,2.743,,,,43,24,20,1
2017-01-31,98290,Snohomish,2.743,80.0,51.0,29.0,43,24,20,0
2017-01-31,98292,Snohomish,2.743,41.0,20.0,21.0,43,24,20,0
2017-01-31,98294,Snohomish,2.743,8.0,5.0,3.0,43,24,20,1
2017-01-31,98295,Whatcom,2.743,2.0,1.0,1.0,43,24,20,0
2017-01-31,98296,Snohomish,2.743,95.0,54.0,41.0,43,24,20,0
2017-01-31,98297,San Juan,2.743,,,,43,24,20,0
2017-01-31,98303,Pierce,2.743,6.0,5.0,1.0,43,24,20,0
2017-01-31,98304,Pierce,2.743,2.0,2.0,,43,24,20,1
2017-01-31,98305,Clallam,2.743,,,,43,24,20,0
2017-01-31,98310,Kitsap,2.743,20.0,15.0,5.0,43,24,20,0
2017-01-31,98311,Kitsap,2.743,37.0,19.0,18.0,43,24,20,0
2017-01-31,98312,Kitsap,2.743,54.0,33.0,21.0,43,24,20,4
2017-01-31,98314,Kitsap,2.743,,,,43,24,20,2
2017-01-31,98315,Kitsap,2.743,2.0,2.0,,43,24,20,0
2017-01-31,98320,Jefferson,2.743,3.0,2.0,1.0,43,24,20,0
2017-01-31,98321,Pierce,2.743,28.0,9.0,19.0,43,24,20,0
2017-01-31,98323,Pierce,2.743,2.0,1.0,1.0,43,24,20,0
2017-01-31,98325,Jefferson,2.743,6.0,4.0,2.0,43,24,20,1
2017-01-31,98326,Clallam,2.743,,,,43,24,20,0
2017-01-31,98327,Pierce,2.743,13.0,5.0,8.0,43,24,20,0
2017-01-31,98328,Pierce,2.743,10.0,3.0,7.0,43,24,20,0
2017-01-31,98329,Pierce,2.743,30.0,14.0,16.0,43,24,20,0
2017-01-31,98330,Pierce,2.743,1.0,1.0,,43,24,20,0
2017-01-31,98331,Clallam,2.743,,,,43,24,20,0
2017-01-31,98332,Pierce,2.743,56.0,22.0,34.0,43,24,20,0
2017-01-31,98333,Pierce,2.743,35.0,14.0,21.0,43,24,20,0
2017-01-31,98335,Pierce,2.743,76.0,43.0,33.0,43,24,20,1
2017-01-31,98336,Lewis,2.743,,,,43,24,20,0
2017-01-31,98337,Kitsap,2.743,5.0,3.0,2.0,43,24,20,2
2017-01-31,98338,Pierce,2.743,45.0,19.0,26.0,43,24,20,0
2017-01-31,98339,Jefferson,2.743,5.0,4.0,1.0,43,24,20,0
2017-01-31,98340,Kitsap,2.743,13.0,11.0,2.0,43,24,20,0
2017-01-31,98342,Kitsap,2.743,11.0,10.0,1.0,43,24,20,0
2017-01-31,98345,Kitsap,2.743,,,,43,24,20,0
2017-01-31,98346,Kitsap,2.743,47.0,27.0,20.0,43,24,20,0
2017-01-31,98349,Pierce,2.743,6.0,5.0,1.0,43,24,20,0
2017-01-31,98350,Clallam,2.743,,,,43,24,20,0
2017-01-31,98351,Pierce,2.743,3.0,,3.0,43,24,20,0
2017-01-31,98353,Kitsap,2.743,,,,43,24,20,0
2017-01-31,98354,Pierce,2.743,9.0,4.0,5.0,43,24,20,0
2017-01-31,98355,Lewis,2.743,,,,43,24,20,0
2017-01-31,98356,Lewis,2.743,2.0,1.0,1.0,43,24,20,1
2017-01-31,98357,Clallam,2.743,,,,43,24,20,2
2017-01-31,98358,Jefferson,2.743,12.0,11.0,1.0,43,24,20,0
2017-01-31,98359,Kitsap,2.743,9.0,7.0,2.0,43,24,20,0
2017-01-31,98360,Pierce,2.743,18.0,8.0,10.0,43,24,20,0
2017-01-31,98361,Lewis,2.743,2.0,,2.0,43,24,20,0
2017-01-31,98362,Clallam,2.743,46.0,22.0,24.0,43,24,20,3
2017-01-31,98363,Clallam,2.743,13.0,7.0,6.0,43,24,20,0
2017-01-31,98364,Kitsap,2.743,,,,43,24,20,0
2017-01-31,98365,Jefferson,2.743,18.0,9.0,9.0,43,24,20,0
2017-01-31,98366,Kitsap,2.743,51.0,26.0,25.0,43,24,20,0
2017-01-31,98367,Kitsap,2.743,58.0,38.0,20.0,43,24,20,0
2017-01-31,98368,Jefferson,2.743,75.0,41.0,34.0,43,24,20,5
2017-01-31,98370,Kitsap,2.743,73.0,50.0,23.0,43,24,20,1
2017-01-31,98371,Pierce,2.743,37.0,16.0,21.0,43,24,20,2
2017-01-31,98372,Pierce,2.743,43.0,22.0,21.0,43,24,20,0
2017-01-31,98373,Pierce,2.743,38.0,15.0,23.0,43,24,20,0
2017-01-31,98374,Pierce,2.743,92.0,47.0,45.0,43,24,20,0
2017-01-31,98375,Pierce,2.743,32.0,6.0,26.0,43,24,20,0
2017-01-31,98376,Jefferson,2.743,3.0,2.0,1.0,43,24,20,0
2017-01-31,98377,Lewis,2.743,,,,43,24,20,0
2017-01-31,98380,Kitsap,2.743,13.0,6.0,7.0,43,24,20,0
2017-01-31,98381,Clallam,2.743,,,,43,24,20,0
2017-01-31,98382,Clallam,2.743,67.0,35.0,32.0,43,24,20,2
2017-01-31,98383,Kitsap,2.743,39.0,26.0,13.0,43,24,20,1
2017-01-31,98385,Pierce,2.743,1.0,,1.0,43,24,20,0
2017-01-31,98387,Pierce,2.743,59.0,31.0,28.0,43,24,20,0
2017-01-31,98388,Pierce,2.743,24.0,12.0,12.0,43,24,20,0
2017-01-31,98390,Pierce,2.743,20.0,14.0,6.0,43,24,20,1
2017-01-31,98391,Pierce,2.743,111.0,46.0,65.0,43,24,20,0
2017-01-31,98392,Kitsap,2.743,10.0,6.0,4.0,43,24,20,0
2017-01-31,98394,Pierce,2.743,3.0,2.0,1.0,43,24,20,0
2017-01-31,98396,Pierce,2.743,1.0,,1.0,43,24,20,0
2017-01-31,98402,Pierce,2.743,7.0,3.0,4.0,43,24,20,6
2017-01-31,98403,Pierce,2.743,18.0,14.0,4.0,43,24,20,0
2017-01-31,98404,Pierce,2.743,27.0,12.0,15.0,43,24,20,0
2017-01-31,98405,Pierce,2.743,21.0,13.0,8.0,43,24,20,0
2017-01-31,98406,Pierce,2.743,60.0,37.0,23.0,43,24,20,1
2017-01-31,98407,Pierce,2.743,80.0,50.0,30.0,43,24,20,1
2017-01-31,98408,Pierce,2.743,12.0,6.0,6.0,43,24,20,1
2017-01-31,98409,Pierce,2.743,24.0,12.0,12.0,43,24,20,7
2017-01-31,98416,Pierce,2.743,,,,43,24,20,0
2017-01-31,98418,Pierce,2.743,8.0,5.0,3.0,43,24,20,0
2017-01-31,98421,Pierce,2.743,,,,43,24,20,2
2017-01-31,98422,Pierce,2.743,54.0,22.0,32.0,43,24,20,0
2017-01-31,98424,Pierce,2.743,19.0,5.0,14.0,43,24,20,2
2017-01-31,98430,Pierce,2.743,,,,43,24,20,0
2017-01-31,98433,Pierce,2.743,10.0,4.0,6.0,43,24,20,0
2017-01-31,98438,Pierce,2.743,1.0,,1.0,43,24,20,0
2017-01-31,98439,Pierce,2.743,1.0,1.0,,43,24,20,0
2017-01-31,98443,Pierce,2.743,5.0,3.0,2.0,43,24,20,0
2017-01-31,98444,Pierce,2.743,24.0,8.0,16.0,43,24,20,1
2017-01-31,98445,Pierce,2.743,33.0,14.0,19.0,43,24,20,0
2017-01-31,98446,Pierce,2.743,12.0,7.0,5.0,43,24,20,0
2017-01-31,98447,Pierce,2.743,2.0,,2.0,43,24,20,0
2017-01-31,98465,Pierce,2.743,22.0,11.0,11.0,43,24,20,0
2017-01-31,98466,Pierce,2.743,50.0,32.0,18.0,43,24,20,0
2017-01-31,98467,Pierce,2.743,36.0,19.0,17.0,43,24,20,1
2017-01-31,98498,Pierce,2.743,39.0,20.0,19.0,43,24,20,0
2017-01-31,98499,Pierce,2.743,25.0,12.0,13.0,43,24,20,0
2017-01-31,98501,Thurston,2.743,132.0,60.0,72.0,43,24,20,3
2017-01-31,98502,Thurston,2.743,95.0,49.0,46.0,43,24,20,3
2017-01-31,98503,Thurston,2.743,59.0,30.0,29.0,43,24,20,0
2017-01-31,98506,Thurston,2.743,61.0,35.0,26.0,43,24,20,0
2017-01-31,98512,Thurston,2.743,60.0,34.0,26.0,43,24,20,0
2017-01-31,98513,Thurston,2.743,58.0,28.0,30.0,43,24,20,1
2017-01-31,98516,Thurston,2.743,60.0,28.0,32.0,43,24,20,0
2017-01-31,98520,Grays Harbor,2.743,15.0,8.0,7.0,43,24,20,1
2017-01-31,98524,Mason,2.743,13.0,5.0,8.0,43,24,20,0
2017-01-31,98526,Grays Harbor,2.743,,,,43,24,20,0
2017-01-31,98527,Pacific,2.743,,,,43,24,20,0
2017-01-31,98528,Mason,2.743,17.0,10.0,7.0,43,24,20,0
2017-01-31,98530,Thurston,2.743,,,,43,24,20,0
2017-01-31,98531,Lewis,2.743,30.0,17.0,13.0,43,24,20,2
2017-01-31,98532,Lewis,2.743,20.0,10.0,10.0,43,24,20,0
2017-01-31,98533,Lewis,2.743,,,,43,24,20,0
2017-01-31,98535,Grays Harbor,2.743,,,,43,24,20,0
2017-01-31,98536,Grays Harbor,2.743,,,,43,24,20,0
2017-01-31,98537,Grays Harbor,2.743,,,,43,24,20,0
2017-01-31,98538,Lewis,2.743,,,,43,24,20,0
2017-01-31,98541,Grays Harbor,2.743,7.0,2.0,5.0,43,24,20,0
2017-01-31,98542,Lewis,2.743,,,,43,24,20,0
2017-01-31,98544,Lewis,2.743,,,,43,24,20,0
2017-01-31,98546,Mason,2.743,6.0,2.0,4.0,43,24,20,0
2017-01-31,98547,Grays Harbor,2.743,1.0,,1.0,43,24,20,0
2017-01-31,98548,Mason,2.743,6.0,4.0,2.0,43,24,20,0
2017-01-31,98550,Grays Harbor,2.743,8.0,6.0,2.0,43,24,20,0
2017-01-31,98552,Grays Harbor,2.743,,,,43,24,20,0
2017-01-31,98555,Mason,2.743,,,,43,24,20,0
2017-01-31,98557,Grays Harbor,2.743,1.0,,1.0,43,24,20,0
2017-01-31,98558,Pierce,2.743,,,,43,24,20,0
2017-01-31,98559,Grays Harbor,2.743,,,,43,24,20,0
2017-01-31,98560,Mason,2.743,1.0,,1.0,43,24,20,0
2017-01-31,98562,Grays Harbor,2.743,,,,43,24,20,0
2017-01-31,98563,Grays Harbor,2.743,6.0,4.0,2.0,43,24,20,0
2017-01-31,98564,Lewis,2.743,3.0,2.0,1.0,43,24,20,0
2017-01-31,98565,Lewis,2.743,,,,43,24,20,0
2017-01-31,98568,Grays Harbor,2.743,3.0,2.0,1.0,43,24,20,0
2017-01-31,98569,Grays Harbor,2.743,8.0,3.0,5.0,43,24,20,0
2017-01-31,98570,Lewis,2.743,4.0,2.0,2.0,43,24,20,0
2017-01-31,98571,Grays Harbor,2.743,,,,43,24,20,0
2017-01-31,98572,Lewis,2.743,,,,43,24,20,0
2017-01-31,98575,Grays Harbor,2.743,,,,43,24,20,0
2017-01-31,98576,Thurston,2.743,9.0,5.0,4.0,43,24,20,0
2017-01-31,98577,Pacific,2.743,3.0,1.0,2.0,43,24,20,0
2017-01-31,98579,Thurston,2.743,10.0,4.0,6.0,43,24,20,1
2017-01-31,98580,Pierce,2.743,19.0,9.0,10.0,43,24,20,0
2017-01-31,98581,Cowlitz,2.743,,,,43,24,20,0
